Accuracy,0.582

Class,Sensitivity,Specificity,Precision,Recall,F1,F0.5,F2
0,0.000,0.837,0.000,0.000,0.000,0.000,0.000
1,0.647,0.813,0.742,0.647,0.691,0.721,0.664
2,0.644,0.694,0.631,0.644,0.637,0.634,0.641
