Forest size=1, Subsetsize=1, Accuracy=0.67994100295
Forest size=1, Subsetsize=2, Accuracy=0.671091445428
Forest size=1, Subsetsize=3, Accuracy=0.684365781711
Forest size=2, Subsetsize=1, Accuracy=0.676991150442
Forest size=2, Subsetsize=2, Accuracy=0.672566371681
Forest size=2, Subsetsize=3, Accuracy=0.685840707965
Forest size=3, Subsetsize=1, Accuracy=0.676991150442
Forest size=3, Subsetsize=2, Accuracy=0.684365781711
Forest size=3, Subsetsize=3, Accuracy=0.675516224189
Forest size=5, Subsetsize=1, Accuracy=0.676991150442
Forest size=5, Subsetsize=2, Accuracy=0.678466076696
Forest size=5, Subsetsize=3, Accuracy=0.682890855457
Forest size=10, Subsetsize=1, Accuracy=0.676991150442
Forest size=10, Subsetsize=2, Accuracy=0.676991150442
Forest size=10, Subsetsize=3, Accuracy=0.675516224189
Forest size=50, Subsetsize=1, Accuracy=0.678466076696
Forest size=50, Subsetsize=2, Accuracy=0.67994100295
Forest size=50, Subsetsize=3, Accuracy=0.676991150442
Forest size=100, Subsetsize=1, Accuracy=0.676991150442
Forest size=100, Subsetsize=2, Accuracy=0.66814159292
Forest size=100, Subsetsize=3, Accuracy=0.678466076696
