Accuracy,0.67994100295

Class,Sensitivity,Specificity,Precision,Recall,F1,F0.5,F2
0,0.963,0.087,0.688,0.963,0.803,0.730,0.892
1,0.087,0.963,0.528,0.087,0.149,0.262,0.104
