Accuracy,0.622222222222

Class,Sensitivity,Specificity,Precision,Recall,F1,F0.5,F2
0,0.000,0.921,0.000,0.000,0.000,0.000,0.000
1,0.608,0.813,0.729,0.608,0.663,0.701,0.629
2,0.772,0.629,0.629,0.772,0.693,0.653,0.739
