Forest size=5, Subsetsize=1, Accuracy=0.858024691358
Forest size=5, Subsetsize=2, Accuracy=0.858024691358
Forest size=5, Subsetsize=3, Accuracy=0.858024691358
Forest size=5, Subsetsize=4, Accuracy=0.858024691358
Forest size=5, Subsetsize=5, Accuracy=0.858024691358
Forest size=5, Subsetsize=6, Accuracy=0.858024691358
Forest size=10, Subsetsize=1, Accuracy=0.858024691358
Forest size=10, Subsetsize=2, Accuracy=0.858024691358
Forest size=10, Subsetsize=3, Accuracy=0.858024691358
Forest size=10, Subsetsize=4, Accuracy=0.858024691358
Forest size=10, Subsetsize=5, Accuracy=0.858024691358
Forest size=10, Subsetsize=6, Accuracy=0.858024691358
Forest size=100, Subsetsize=1, Accuracy=0.858024691358
Forest size=100, Subsetsize=2, Accuracy=0.858024691358
Forest size=100, Subsetsize=3, Accuracy=0.858024691358
Forest size=100, Subsetsize=4, Accuracy=0.858024691358
Forest size=100, Subsetsize=5, Accuracy=0.858024691358
Forest size=100, Subsetsize=6, Accuracy=0.858024691358
Forest size=500, Subsetsize=1, Accuracy=0.858024691358
Forest size=500, Subsetsize=2, Accuracy=0.858024691358
Forest size=500, Subsetsize=3, Accuracy=0.858024691358
Forest size=500, Subsetsize=4, Accuracy=0.858024691358
Forest size=500, Subsetsize=5, Accuracy=0.858024691358
Forest size=500, Subsetsize=6, Accuracy=0.858024691358
